query,_id,_score,symbol
ENSG00000083814,79891,31.515291,ZNF671
ENSG00000156697,10813,32.50751,UTP14A
ENSG00000132950,9205,32.50751,ZMYM5
ENSG00000117410,533,32.50751,ATP6V0B
ENSG00000101247,79133,31.515606,NDUFAF5
ENSG00000148737,6934,31.515606,TCF7L2
ENSG00000111845,55003,32.50717,PAK1IP1
ENSG00000172339,199857,31.515606,ALG14
ENSG00000151304,153443,32.50751,SRFBP1
ENSG00000116560,6421,31.515606,SFPQ
ENSG00000083817,55659,31.515291,ZNF416
ENSG00000130202,5819,31.515291,NECTIN2
ENSG00000141965,55527,31.515606,FEM1A
ENSG00000204427,7920,31.515606,ABHD16A
ENSG00000184678,8349,30.862257,H2BC21
ENSG00000160791,1234,31.515606,CCR5
ENSG00000124635,8970,31.515606,H2BC11
ENSG00000182308,285429,32.50751,DCAF4L1
ENSG00000160695,55823,30.862257,VPS11
ENSG00000166851,5347,31.515606,PLK1
ENSG00000163659,25976,31.515606,TIPARP
ENSG00000196756,388796,32.50717,SNHG17
ENSG00000113240,57396,31.515291,CLK4
ENSG00000104980,10469,31.515606,TIMM44
ENSG00000111727,29915,31.515606,HCFC2
ENSG00000272888,ENSG00000272888,32.50751,CHASERR
ENSG00000170855,51499,32.50751,TRIAP1
ENSG00000122882,11319,32.50751,ECD
ENSG00000031003,51306,32.50751,FAM13B
ENSG00000114988,81562,32.50751,LMAN2L
ENSG00000129932,83475,32.50751,DOHH
ENSG00000172530,54971,30.862257,BANP
ENSG00000196911,3841,32.50717,KPNA5
ENSG00000157764,673,31.515606,BRAF
ENSG00000176095,9807,30.862257,IP6K1
ENSG00000117360,9129,32.50735,PRPF3
ENSG00000204256,6046,31.515606,BRD2
ENSG00000055044,51602,31.515455,NOP58
ENSG00000131023,9113,31.515291,LATS1
ENSG00000116954,64121,31.515291,RRAGC
ENSG00000259623,ENSG00000259623,32.50717,
ENSG00000059728,4084,32.50751,MXD1
ENSG00000173812,10209,31.515291,EIF1
ENSG00000197989,85028,32.50717,SNHG12
ENSG00000123268,466,31.515606,ATF1
ENSG00000148950,196294,32.50751,IMMP1L
ENSG00000092140,55632,31.515606,G2E3
ENSG00000178502,55175,32.50751,KLHL11
ENSG00000163660,57018,32.50751,CCNL1
