,Valor
Nodos,429.0
Aristas,4601.0
Grado promedio,21.44988344988345
Coeficiente de clustering,0.3078390798170344
Densidad,0.05011655011655012
Componente gigante,429.0
Camino largo promedio,2.6288042175892645
Diámetro,4.0
